type	latitude	longitude	altitude (m)	name	desc
T	33.901450000	-117.956450000	124.3		
T	33.901450000	-117.956550000	124.5		
T	33.901170000	-117.956570000	125.5		
T	33.900990000	-117.956610000	126.3		
T	33.900590000	-117.956750000	126.8		
T	33.900300000	-117.956910000	127.4		
T	33.900110000	-117.957050000	126.6		
T	33.899870000	-117.957280000	126.2		
T	33.899710000	-117.957460000	126.1		
T	33.899570000	-117.957640000	124.6		
T	33.899280000	-117.958090000	122.4		
T	33.899100000	-117.958500000	120.4		
T	33.898970000	-117.958960000	117.1		
T	33.898900000	-117.959400000	116.5		
T	33.898890000	-117.959630000	115.6		
T	33.898900000	-117.960060000	113.8		
T	33.898940000	-117.960350000	112.7		
T	33.898940000	-117.960350000	112.7		
T	33.899050000	-117.960840000	111.9		
T	33.898950000	-117.960860000	111.5		
T	33.899080000	-117.961460000	112.5		
T	33.899250000	-117.962250000	114.4		
T	33.899300000	-117.962680000	115.8		
T	33.899280000	-117.963190000	116.7		
T	33.899240000	-117.963490000	116.6		
T	33.899140000	-117.963890000	117.9		
T	33.899010000	-117.964220000	117.3		
T	33.898820000	-117.964550000	116.8		
T	33.898620000	-117.964800000	115.5		
T	33.898320000	-117.965130000	114.2		
T	33.898250000	-117.965180000	114.0		
T	33.898250000	-117.965180000	114.0		
T	33.898050000	-117.965330000	113.2		
T	33.897860000	-117.965430000	112.3		
T	33.897560000	-117.965570000	111.3		
T	33.897220000	-117.965650000	110.0		
T	33.896550000	-117.965750000	107.4		
T	33.896130000	-117.965750000	106.4		
T	33.896030000	-117.965760000	106.4		
T	33.895930000	-117.965810000	106.3		
T	33.895450000	-117.965600000	106.7		
T	33.894730000	-117.965300000	106.8		
T	33.894500000	-117.965210000	107.2		
T	33.894340000	-117.965170000	106.4		
T	33.894050000	-117.965150000	104.7		
T	33.894050000	-117.965150000	104.7		
T	33.893390000	-117.965180000	101.2		
T	33.892900000	-117.965270000	98.0		
T	33.892150000	-117.965510000	92.6		
T	33.891050000	-117.965880000	84.2		
T	33.890300000	-117.966130000	79.1		
T	33.890090000	-117.966230000	77.5		
T	33.889800000	-117.966290000	75.2		
T	33.889340000	-117.966310000	72.4		
T	33.888950000	-117.966260000	69.9		
T	33.888960000	-117.966220000	69.8		
T	33.888960000	-117.966220000	69.8		
T	33.889050000	-117.965310000	71.4		
T	33.889060000	-117.964330000	72.4		
T	33.889060000	-117.963910000	72.7		
